somaPares([1,2,3,4])-;[1,2,3,4];;;;" ";;
soma;i;arrNumbers.length;i < arrNumbers.length;arrNumbers[i] % 2 === 0;soma += arrNumbers[i];i++;return soma
0;?;?;?;?;?;?;?
0;0;?;?;?;?;?;?
0;0;4;?;?;?;?;?
0;0;4;0 < 4 = TRUE;?;?;?;?
0;0;4;TRUE;1 % 2 === 0 -> FALSE;-;0 + 1 = 1;?
0;?;?;?;?;?;?;
0;1;?;?;?;?;?;?
0;1;4;?;?;?;?;?
0;1;4;1 < 4 = TRUE;?;?;?;?
0;1;4;TRUE;2 % 2 === 0 -> TRUE;?;?;?
0;1;4;TRUE;TRUE;0 + 2 = 2;?;?
0;1;4;TRUE;TRUE;2;1 + 1 = 2;?
2;?;?;?;?;?;?;?
2;2;;;;;;?
2;2;4;;;;;?
2;2;4;2 < 4 = TRUE;;;;?
2;2;4;TRUE;3 % 2 === 0 -> FALSE;;;?
2;2;4;TRUE;3 % 2 === 0 -> FALSE;-;2 + 1 = 3;?
2;2;4;TRUE;3 % 2 === 0 -> FALSE;-;2 + 1 = 3;?
2;?;?;?;?;?;?;?
2;3;?;?;?;;;?
2;3;4;?;?;?;?;?
2;3;4;3 < 4 = TRUE;?;?;?;?
2;3;4;TRUE;4 % 2 === 0 -> TRUE;?;?;?
2;3;4;TRUE;4 % 2 === 0 -> TRUE;2 + 4 = 6;?;?
2;3;4;TRUE;4 % 2 === 0 -> TRUE;6;3+1 = 4;?
6;?;?;?;?;?;?;?
6;4;?;?;?;?;?;?
6;4;4;?;;;;?
6;4;4;4 < 4 = FALSE;-;-;-;-
6;4;4;4 < 4 = FALSE;-;-;-;6
